"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	5750		85,061		110,58		88,990  	0,008 		2,672		2477,04
	5775		81,208		105,57		89,013  	0,008 		2,655		2420,14
	5800		77,407		100,63		89,035  	0,007 		2,639		2355,80
	5825		73,659		95,76		89,058  	0,007 		2,622		2294,95
	5850		69,965		90,95		89,079  	0,007 		2,606		2235,30
	5875		66,327		86,22		89,101  	0,007 		2,589		2156,70
	5900		62,762		81,59		89,121  	0,007 		2,572		2040,37
	5925		59,281		77,06		89,1401		0,007 		2,555		1927,81
	5950		55,882		72,65		89,158  	0,006 		2,537		1821,92
	5975		52,567		68,34		89,175  	0,006 		2,520		1717,52
	6000		49,341		64,14		89,191  	0,006 		2,502		1611,90
	6025		46,208		60,07		89,205  	0,006 		2,484		1498,58
	6050		43,177		56,13		89,219  	0,006 		2,466		1382,57
	6075		40,254		52,33		89,232  	0,006 		2,448		1260,03
	6100		37,445		48,68		89,245  	0,005 		2,430		1137,12
	6125		34,753		45,18		89,258  	0,005 		2,412		1021,24
	6150		32,179		41,83		89,270  	0,005 		2,393		913,91
	6175		29,721		38,64		89,283  	0,005 		2,375		814,79
	6200		27,378		35,59		89,294  	0,004 		2,357		723,55
	6225		25,150		32,69		89,305  	0,004 		2,338		639,71
	6250		23,038		29,95		89,315  	0,004 		2319		563,06
	6275		21,037		27,35		89,323  	0,003 		2,301		493,25
	6300		19,145		24,89		89,331  	0,003 		2,282		429,78
	6325		17,361		22,57		89,338  	0,003 		2,263		372,27
	6350		15,686		20,39		89,343  	0,002 		2,244		320,47
	6375		14,120		18,36		89,345  	0,002 		2,225		274,04
	6400		12,656		16,5		89,346  	0,002 		2,206		232,75
	6425		11,292		14,68		89,345  	0,001 		2,186		195,95
	6450		10,029		13,04		89,344  	0,001 		2,167		163,66
	6475		8,859		11,52		89,343  	0,001 		2,147		135,51
	6500		7,777		10,11		89,342  	0,000		2,127		110,92
	6525		6,780		8,81		89,340  	0,000		2,107		89,52
	6550		5,874		7,64		89,338  	0,000		2,086		71,21
	6575		5,058		6,58		89,3361		0,000		2,065		55,74
	6600		4,325		5,62		89,332  	0,000		2,044		42,90
	6625		3,667		4,77		89,327  	0,000		2,022		32,21
	6630		3,545		4,61		89,326  	0,000		2,017		30,33

Tank HOLD2C
	500		1355,515	1762,17		72,5201		0,007 		5,545	7395,18
	525		1349,225	1753,99		72,519  	0,007 		5,532	7395,17
	550		1342,935	1745,81		72,519  	0,007 		5,519	7395,15
	575		1336,645	1737,64		72,5191		0,007 		5,507	7395,13
	600		1330,355	1729,46		72,519  	0,007 		5,494	7395,12
	625		1324,065	1721,28		72,519  	0,007 		5,481	7395,10
	650		1317,775	1713,11		72,518  	0,007 		5,468	7395,08
	675		1311,485	1704,93		72,518  	0,007 		5,456	7395,07
	700		1305,195	1696,75		72,518  	0,007 		5,443	7395,05
	725		1298,905	1688,58		72,518  	0,007 		5,430	7395,03
	750		1292,615	1680,40		72,517  	0,007 		5,418	7395,02
	775		1286,325	1672,22		72,517  	0,007 		5,405	7395,00
	800		1280,035	1664,05		72,517  	0,007 		5,392	7394,98
	825		1273,745	1655,87		72,517  	0,007 		5,380	7394,97
	850		1267,455	1647,69		72,5161		0,007 		5,367	7394,95
	875		1261,165	1639,51		72,516  	0,007 		5,354	7394,93
	900		1254,875	1631,34		72,516  	0,007 		5,341	7394,92
	925		1248,585	1623,16		72,516  	0,007 		5,329	7394,90
	950		1242,296	1614,98		72,515  	0,007 		5,316	7394,88
	975		1236,006	1606,81		72,515  	0,007 		5,303	7394,87
	1000	1229,716	1598,63		72,5151		0,007 		5,291	7394,85
	1025	1223,426	1590,45		72,515  	0,007 		5,278	7394,83
	1050	1217,136	1582,28		72,514  	0,007 		5,265	7394,81
	1075	1210,846	1574,10		72,514  	0,007 		5,252	7394,79
	1100	1204,556	1565,92		72,514  	0,007 		5,240	7394,77
	1125	1198,266	1557,75		72,514  	0,007 		5,227	7394,75
	1150	1191,976	1549,57		72,513  	0,007 		5,214	7394,73
	1175	1185,686	1541,39		72,5131		0,007 		5,201	7394,71
	1200	1179,397	1533,22		72,513  	0,007 		5,189	7394,69
	1225	1173,107	1525,04		72,513  	0,007 		5,176	7394,67
	1250	1166,817	1516,86		72,512  	0,007 		5,163	7394,65
	1275	1160,527	1508,68		72,512  	0,007 		5,150	7394,62
	1300	1154,237	1500,51		72,512  	0,007 		5,138	7394,60
	1325	1147,947	1492,33		72,511  	0,007 		5,125	7394,58
	1350	1141,657	1484,15		72,511  	0,007 		5,112	7394,56
	1375	1135,368	1475,98		72,5111		0,007 		5,099	7394,54
	1400	1129,078	1467,80		72,511  	0,007 		5,087	7394,52
	1425	1122,788	1459,62		72,510  	0,007 		5,074	7394,49
	1450	1116,498	1451,45		72,510  	0,007 		5,061	7394,47
	1475	1110,208	1443,27		72,510  	0,007 		5,048	7394,45
